OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Length,Shape__Area
1570,10,Kilkenny,99232,4/29/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,250,251.9348597,,,453397.5722,5585391835
1571,11,Laois,84697,4/29/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,224,264.4721773,,,398512.4622,4731211499
1572,12,Leitrim,32044,4/29/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,68,212.2082137,,,453253.685,4618679673
1573,13,Limerick,194899,4/29/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,548,281.1712733,,,673892.6905,7206726912
1574,14,Longford,40873,4/29/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,149,364.5438309,,,315245.1728,3097977869
1575,15,Louth,128884,4/29/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,659,511.3124981,,,352203.5172,2386326963
1576,16,Mayo,130507,4/29/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,485,371.6275755,,,2101964.077,16036984139
1577,17,Meath,195044,4/29/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,681,349.1519862,,,554844.7505,6658570746
1578,18,Monaghan,61386,4/29/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,399,649.9853387,,,392803.0473,3768943157
1579,19,Offaly,77961,4/29/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,284,364.2847065,,,561440.3786,5558826350
